DR_NO,DATE OCC,TIME OCC,AREA,Rpt Dist No,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Status Desc,LOCATION,LAT,LON,City,Crime Subtype,Perp Age,Perp Sex,Arrest
221206295,02/12/2022 12:00:00 AM,1825,12,1268,510,VEHICLE - STOLEN,0,,Invest Cont,8500 S  BROADWAY,33.9615,-118.2783,Los Angeles,VEHICLE - STOLEN,,,False
211814373,07/28/2021 12:00:00 AM,1700,18,1863,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,23,F,Invest Cont,AVALON                       BL,33.9265,-118.2652,Los Angeles,INTIMATE PARTNER - AGGRAVATED ASSAULT,,,False
220620506,10/31/2022 12:00:00 AM,1000,6,622,649,DOCUMENT FORGERY / STOLEN FELONY,28,F,Invest Cont,7200    HILLSIDE                     AV,34.1046,-118.3461,Los Angeles,DOCUMENT FORGERY / STOLEN FELONY,,,False
220309765,04/28/2022 12:00:00 AM,1230,3,375,626,INTIMATE PARTNER - SIMPLE ASSAULT,45,F,Invest Cont,WESTERN                      AV,34.0109,-118.3089,Los Angeles,INTIMATE PARTNER - SIMPLE ASSAULT,,,False
221607962,04/28/2022 12:00:00 AM,330,16,1617,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),66,F,Invest Cont,8600    FORSYTHE                     ST,34.2662,-118.3201,Los Angeles,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),,,False
221918068,12/12/2022 12:00:00 AM,2050,19,1985,624,BATTERY - SIMPLE ASSAULT,29,F,Invest Cont,8700    TOBIAS                       AV,34.228,-118.4517,Los Angeles,BATTERY - SIMPLE ASSAULT,,,False
220613346,07/18/2022 12:00:00 AM,100,6,644,330,BURGLARY FROM VEHICLE,36,M,Invest Cont,1400 N  LA BREA                      AV,34.0962,-118.349,Los Angeles,BURGLARY FROM VEHICLE,,,False
200814662,09/28/2020 12:00:00 AM,1800,8,835,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),65,M,Invest Cont,2100    MIDVALE                      AV,34.0433,-118.4327,Los Angeles,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),,,False
221204691,01/12/2022 12:00:00 AM,1400,12,1249,626,INTIMATE PARTNER - SIMPLE ASSAULT,25,F,Adult Other,69TH                         ST,33.9774,-118.2827,Los Angeles,INTIMATE PARTNER - SIMPLE ASSAULT,,,False
221411818,05/27/2022 12:00:00 AM,510,14,1494,626,INTIMATE PARTNER - SIMPLE ASSAULT,55,F,Adult Arrest,9100 S  LOYOLA                       BL,33.9538,-118.4173,Los Angeles,INTIMATE PARTNER - SIMPLE ASSAULT,,,True
210600519,03/13/2021 12:00:00 AM,2020,6,666,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",50,M,Invest Cont,SUNSET,34.098,-118.3266,Los Angeles,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,,False
231707686,04/05/2023 12:00:00 AM,2300,17,1761,626,INTIMATE PARTNER - SIMPLE ASSAULT,27,M,Adult Other,9100    TOPANGA CANYON               BL,34.2354,-118.605,Los Angeles,INTIMATE PARTNER - SIMPLE ASSAULT,,,False
