ARREST_KEY,ARREST_DATE,PD_DESC,KY_CD,OFNS_DESC,ARREST_BORO,ARREST_PRECINCT,AGE_GROUP,PERP_SEX,Latitude,Longitude,Vict Age,Vict Sex,Arrest,City
261359456,2023-01-04,"FORGERY,ETC.-MISD.",358.0,OFFENSES INVOLVING FRAUD,M,20,25-44,M,40.77847609,-73.98544886,,,True,New York
267435746,2023-04-28,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,Q,102,25-44,M,40.702942,-73.81904,,,True,New York
262317968,2023-01-22,"BURGLARY,UNCLASSIFIED,UNKNOWN",107.0,BURGLARY,M,17,25-44,M,40.752378,-73.973274,,,True,New York
268877762,2023-05-26,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,S,122,45-64,M,40.57961037,-74.10911094,,,True,New York
265902075,2023-03-30,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,K,81,45-64,M,40.67927614,-73.92905788,,,True,New York
268959911,2023-05-28,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,M,6,45-64,M,40.733876,-74.005428,,,True,New York
261734897,2023-01-11,"TRESPASS 3, CRIMINAL",352.0,CRIMINAL TRESPASS,M,14,25-44,M,40.746748,-73.981587,,,True,New York
270314323,2023-06-23,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,Q,113,25-44,M,40.688741,-73.778435,,,True,New York
265891138,2023-03-29,"FORGERY,ETC.,UNCLASSIFIED-FELO",113.0,FORGERY,M,14,18-24,M,40.747036,-73.987127,,,True,New York
262443038,2023-01-25,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,K,71,25-44,M,40.66904,-73.951969,,,True,New York
266881310,2023-04-19,"CONTROLLED SUBSTANCE, POSSESSI",235.0,DANGEROUS DRUGS,M,14,25-44,M,40.75723226,-73.98979219,,,True,New York
266703907,2023-04-15,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,K,75,25-44,M,40.66514118081692,-73.88556216534633,,,True,New York
261634821,2023-01-09,"ROBBERY,CAR JACKING",105.0,ROBBERY,K,61,18-24,M,40.586042,-73.944007,,,True,New York
267823424,2023-05-06,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,Q,103,45-64,M,40.708598,-73.785956,,,True,New York
262624341,2023-01-27,WEAPONS POSSESSION 3,118.0,DANGEROUS WEAPONS,M,25,25-44,M,40.80437576,-73.93742023,,,True,New York
263267628,2023-02-09,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348.0,VEHICLE AND TRAFFIC LAWS,Q,113,25-44,M,40.681234,-73.79025,,,True,New York
269774421,2023-06-13,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,Q,109,25-44,M,40.762037,-73.827328,,,True,New York
268490068,2023-05-18,"FORGERY,ETC.-MISD.",358.0,OFFENSES INVOLVING FRAUD,B,40,25-44,F,40.81427012,-73.91534128,,,True,New York
262925906,2023-02-02,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,Q,112,25-44,M,40.721971,-73.849715,,,True,New York
269849275,2023-06-14,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,K,62,25-44,M,40.602464,-74.00346,,,True,New York
266657436,2023-04-13,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,K,69,25-44,M,40.64429547,-73.901381,,,True,New York
261487448,2023-01-06,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,M,14,45-64,M,40.749982,-73.995071,,,True,New York
265375547,2023-03-20,"PUBLIC ADMINISTRATION,UNCLASSI",126.0,MISCELLANEOUS PENAL LAW,B,45,25-44,F,40.830792,-73.826946,,,True,New York
264660338,2023-03-07,"WEAPONS, POSSESSION, ETC",236.0,DANGEROUS WEAPONS,Q,113,25-44,F,40.6799807384666,-73.7762339071953,,,True,New York
265624149,2023-03-25,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,Q,115,25-44,M,40.7498691,-73.86272585,,,True,New York
264640242,2023-03-06,"PUBLIC ADMINISTRATION,UNCLASSI",126.0,MISCELLANEOUS PENAL LAW,B,47,25-44,F,40.887325,-73.847247,,,True,New York
