INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
245764753,2022-05-27,20:45:00,BRONX,OUTSIDE,43,0.0,COMMERCIAL,(null),False,(null),(null),(null),25-44,M,BLACK,1023547.0,238401.0,40.820946,-73.858016,POINT (-73.858016 40.820946)
252469499,2022-10-12,23:29:00,QUEENS,OUTSIDE,105,0.0,STREET,(null),False,(null),(null),(null),18-24,M,WHITE HISPANIC,1052410.0,203397.0,40.72469185,-73.75409283,POINT (-73.75409283 40.72469185)
240031205,2022-02-02,06:45:00,BRONX,OUTSIDE,45,0.0,STREET,(null),False,25-44,M,WHITE HISPANIC,25-44,M,BLACK,1033874.0,240003.0,40.82529,-73.820693,POINT (-73.820693 40.82529)
241640926,2022-03-05,01:52:00,STATEN ISLAND,OUTSIDE,121,0.0,STREET,(null),False,18-24,F,WHITE,25-44,M,BLACK,942822.0,166353.0,40.6231883776008,-74.1492376947323,POINT (-74.1492376947323 40.6231883776008)
248844926,2022-07-31,23:36:00,QUEENS,OUTSIDE,101,0.0,HOUSING,MULTI DWELL - PUBLIC HOUS,False,(null),(null),(null),25-44,M,BLACK,1052667.0,161622.0,40.610028,-73.753587,POINT (-73.753587 40.610028)
241325830,2022-02-27,22:10:00,BROOKLYN,OUTSIDE,73,1.0,TRANSIT,(null),False,18-24,M,BLACK,25-44,M,WHITE,1008245.0,183796.0,40.6711300016904,-73.9135020552048,POINT (-73.9135020552048 40.6711300016904)
247492011,2022-07-02,21:39:00,QUEENS,INSIDE,102,0.0,COMMERCIAL,SMALL MERCHANT,True,(null),(null),(null),<18,F,WHITE HISPANIC,1033692.0,194201.0,40.699576,-73.82169,POINT (-73.82169 40.699576)
245106711,2022-05-15,19:42:00,BRONX,OUTSIDE,41,0.0,STREET,(null),True,(null),(null),(null),25-44,M,WHITE HISPANIC,1012373.0,237684.0,40.819019,-73.898391,POINT (-73.898391 40.819019)
247207592,2022-06-27,04:05:00,BRONX,OUTSIDE,40,0.0,HOUSING,MULTI DWELL - PUBLIC HOUS,False,(null),(null),(null),<18,M,BLACK,1006363.0,238854.0,40.822248,-73.920102,POINT (-73.920102 40.822248)
243699976,2022-04-15,02:25:00,QUEENS,OUTSIDE,108,0.0,STREET,(null),False,(null),(null),(null),<18,M,BLACK HISPANIC,1012293.0,210636.0,40.744781,-73.898795,POINT (-73.898795 40.744781)
244106023,2022-04-23,19:40:00,BRONX,OUTSIDE,44,0.0,STREET,GROCERY/BODEGA,True,18-24,M,BLACK HISPANIC,25-44,M,BLACK,1010577.0,246998.0,40.8445883,-73.90484654,POINT (-73.90484654 40.8445883)
245824158,2022-05-29,04:41:00,BROOKLYN,OUTSIDE,73,0.0,STREET,(null),False,18-24,M,BLACK,25-44,M,BLACK,1009281.0,181210.0,40.664024,-73.909775,POINT (-73.909775 40.664024)
260366650,2022-12-21,22:02:00,BRONX,INSIDE,42,0.0,DWELLING,MULTI DWELL - APT BUILD,False,45-64,M,WHITE HISPANIC,45-64,F,WHITE HISPANIC,1010129.0,239569.0,40.824201,-73.906494,POINT (-73.906494 40.824201)
247542572,2022-07-04,23:35:00,BROOKLYN,OUTSIDE,75,0.0,STREET,(null),False,18-24,M,BLACK,18-24,M,BLACK,1022810.0,182671.0,40.667984,-73.861,POINT (-73.861 40.667984)
255797920,2022-12-12,12:25:00,BRONX,OUTSIDE,40,0.0,HOUSING,MULTI DWELL - PUBLIC HOUS,False,(null),(null),(null),25-44,M,WHITE HISPANIC,1005674.0,234940.0,40.811507,-73.922606,POINT (-73.922606 40.811507)
245281702,2022-05-18,15:37:00,BRONX,OUTSIDE,40,0.0,STREET,(null),True,25-44,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,1003364.0,237018.0,40.81721463,-73.93094485,POINT (-73.93094485 40.81721463)
248440041,2022-07-23,11:30:00,BRONX,OUTSIDE,42,0.0,COMMERCIAL,(null),False,18-24,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1011433.0,242362.0,40.831862,-73.901769,POINT (-73.901769 40.831862)
252672052,2022-10-17,04:10:00,QUEENS,OUTSIDE,102,0.0,STREET,BAR/NIGHT CLUB,False,(null),(null),(null),18-24,M,ASIAN / PACIFIC ISLANDER,1034000.0,192870.0,40.695921,-73.820586,POINT (-73.820586 40.695921)
240953545,2022-02-19,01:30:00,BROOKLYN,OUTSIDE,94,0.0,STREET,(null),False,(null),(null),(null),18-24,M,WHITE HISPANIC,997282.0,204143.0,40.7270006940205,-73.9529831112437,POINT (-73.9529831112437 40.7270006940205)
250249866,2022-08-27,23:57:00,BROOKLYN,OUTSIDE,60,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,True,(null),(null),(null),25-44,F,BLACK,985690.0,147743.0,40.572196,-73.994815,POINT (-73.994815 40.572196)
241930891,2022-03-10,19:10:00,BROOKLYN,OUTSIDE,67,0.0,STREET,MULTI DWELL - APT BUILD,True,(null),(null),(null),25-44,M,BLACK,1007082.0,178667.0,40.657049,-73.917709,POINT (-73.917709 40.657049)
241344342,2022-02-28,01:02:00,MANHATTAN,OUTSIDE,34,0.0,STREET,(null),False,18-24,M,BLACK,18-24,M,BLACK HISPANIC,1005771.0,254641.0,40.865582,-73.92219,POINT (-73.92219 40.865582)
241213161,2022-02-24,21:35:00,BRONX,OUTSIDE,47,0.0,STREET,(null),False,18-24,M,BLACK,25-44,M,BLACK,1026784.0,267827.0,40.901695,-73.846137,POINT (-73.846137 40.901695)
251475264,2022-09-22,10:55:00,BROOKLYN,OUTSIDE,76,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,False,(null),(null),(null),45-64,M,BLACK,982323.0,185643.0,40.676224,-74.006944,POINT (-74.006944 40.676224)
252286835,2022-10-09,20:00:00,BRONX,OUTSIDE,40,0.0,STREET,(null),False,18-24,M,WHITE HISPANIC,25-44,M,BLACK,1006474.0,233254.0,40.80687622,-73.9197215,POINT (-73.9197215 40.80687622)
248172023,2022-07-18,03:50:00,BRONX,OUTSIDE,43,0.0,STREET,(null),False,(null),(null),(null),18-24,M,BLACK,1021750.0,243431.0,40.834758,-73.864483,POINT (-73.864483 40.834758)
250619956,2022-09-05,00:16:00,BROOKLYN,OUTSIDE,67,0.0,STREET,(null),False,(null),(null),(null),25-44,M,BLACK,1007456.0,178474.0,40.656517,-73.91636,POINT (-73.91636 40.656517)
247100193,2022-06-23,22:47:00,BRONX,OUTSIDE,47,0.0,STREET,(null),False,18-24,M,BLACK,25-44,M,BLACK,1024530.0,266641.0,40.89844961,-73.85429832,POINT (-73.85429832 40.89844961)
254619180,2022-11-24,20:44:00,BRONX,OUTSIDE,47,0.0,STREET,(null),True,18-24,M,BLACK,18-24,M,BLACK,1025419.0,264080.0,40.891419,-73.851095,POINT (-73.851095 40.891419)
250252452,2022-08-27,13:29:00,BRONX,OUTSIDE,47,0.0,STREET,(null),False,18-24,M,BLACK,25-44,M,BLACK,1025475.0,258401.0,40.87582907,-73.85093078,POINT (-73.85093078 40.87582907)
245106715,2022-05-14,22:15:00,BRONX,OUTSIDE,40,0.0,STREET,MULTI DWELL - APT BUILD,True,45-64,M,BLACK HISPANIC,25-44,M,BLACK,1007267.0,235561.0,40.813208,-73.916848,POINT (-73.916848 40.813208)
253458084,2022-11-01,21:15:00,BROOKLYN,OUTSIDE,70,0.0,STREET,COMMERCIAL BLDG,False,18-24,M,BLACK,18-24,M,BLACK,995539.0,174905.0,40.646743,-73.959318,POINT (-73.959318 40.646743)
244106024,2022-04-24,13:30:00,BROOKLYN,OUTSIDE,75,0.0,STREET,(null),True,(null),(null),(null),45-64,M,WHITE HISPANIC,1014171.0,186296.0,40.677966,-73.892125,POINT (-73.892125 40.677966)
