ARREST_KEY,ARREST_DATE,PD_DESC,KY_CD,OFNS_DESC,ARREST_BORO,ARREST_PRECINCT,AGE_GROUP,PERP_SEX,Latitude,Longitude,Vict Age,Vict Sex,Arrest,City
262700280,1/30/2023,CRIMINAL MIS 2 & 3,121,CRIMINAL MISCHIEF & RELATED OF,B,40,25-44,M,40.816035,-73.916225,,,TRUE,New York
261345237,1/4/2023,STRANGULATION 1ST,106,FELONY ASSAULT,Q,106,25-44,M,40.682389,-73.840079,,,TRUE,New York
266369592,4/8/2023,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,M,23,18-24,M,40.798369,-73.94603,,,TRUE,New York
263857239,2/18/2023,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,Q,114,45-64,M,40.76987,-73.889864,,,TRUE,New York
267063451,4/21/2023,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,K,88,25-44,F,40.694012,-73.973841,,,TRUE,New York
267122620,4/23/2023,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,S,120,45-64,M,40.643566,-74.074001,,,TRUE,New York
268221060,5/14/2023,ASSAULT POLICE/PEACE OFFICER,106,FELONY ASSAULT,B,52,45-64,M,40.86118,-73.906354,,,TRUE,New York
261472462,1/6/2023,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109,GRAND LARCENY,M,18,25-44,M,40.76539,-73.985702,,,TRUE,New York
265763713,3/28/2023,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109,GRAND LARCENY,S,120,25-44,M,40.644996,-74.077263,,,TRUE,New York
265763679,3/28/2023,"BURGLARY,UNCLASSIFIED,UNKNOWN",107,BURGLARY,K,84,45-64,M,40.695404,-73.983239,,,TRUE,New York
269674721,6/11/2023,"CONTEMPT,CRIMINAL",359,OFFENSES AGAINST PUBLIC ADMINI,B,47,25-44,M,40.887325,-73.847247,,,TRUE,New York
265931199,3/30/2023,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,K,68,45-64,M,40.62279866,-74.02834994,,,TRUE,New York
268785221,5/24/2023,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,K,81,25-44,U,40.681753,-73.924165,,,TRUE,New York
268352245,5/16/2023,"FORGERY,ETC.-MISD.",358,OFFENSES INVOLVING FRAUD,B,46,18-24,M,40.847196,-73.91271,,,TRUE,New York
269670015,6/11/2023,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,K,60,<18,M,40.576451,-73.986363,,,TRUE,New York
