ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12938665,JG100393,2023-01-01 00:00:00,017XX E 72ND ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,APARTMENT,False,False,324,3.0,7.0,43.0,15,1188924.0,1857581.0,2023,08/19/2023 03:40:26 PM,41.764263436,-87.583102082,"(41.764263436, -87.583102082)"
12581978,JF100185,2021-12-31 23:50:00,086XX S SAGINAW AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,True,423,4.0,7.0,46.0,26,1195327.0,1848103.0,2021,01/07/2022 03:44:31 PM,41.738099428,-87.559946218,"(41.738099428, -87.559946218)"
12905841,JF490295,2022-11-28 09:30:00,081XX S EBERHART AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,APARTMENT,False,False,631,6.0,6.0,44.0,04B,1180997.0,1850906.0,2022,01/03/2023 03:40:27 PM,41.746132566,-87.612361215,"(41.746132566, -87.612361215)"
12536964,JE440363,2021-06-01 00:00:00,048XX S CHICAGO BEACH DR,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,222,2.0,4.0,39.0,11,1187888.0,1873183.0,2021,11/12/2021 03:50:21 PM,41.807101267,-87.586402447,"(41.807101267, -87.586402447)"
12545787,JE450783,2021-11-19 18:52:00,121XX S INDIANA AVE,041A,BATTERY,AGGRAVATED - HANDGUN,APARTMENT,False,False,532,5.0,9.0,53.0,04B,1179768.0,1824321.0,2021,11/26/2021 03:40:45 PM,41.673207966,-87.617674109,"(41.673207966, -87.617674109)"
12311554,JE164441,2021-03-09 22:00:00,047XX S INGLESIDE AVE,031A,ROBBERY,ARMED - HANDGUN,RESIDENCE,False,False,222,2.0,4.0,39.0,03,1183416.0,1873704.0,2021,03/16/2021 03:40:36 PM,41.80863641,-87.602787908,"(41.80863641, -87.602787908)"
12282597,JE127605,2021-01-30 04:55:00,004XX E 32ND ST,0650,BURGLARY,HOME INVASION,RESIDENCE,False,False,211,2.0,4.0,35.0,05,1179519.0,1883862.0,2021,02/06/2021 03:40:17 PM,41.836600771,-87.61677038,"(41.836600771, -87.61677038)"
13064561,JG250417,2023-05-06 13:35:00,048XX N MAGNOLIA AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True,2033,20.0,47.0,3.0,26,1167056.0,1932757.0,2023,08/19/2023 03:40:26 PM,41.971048053,-87.66109574,"(41.971048053, -87.66109574)"
12217221,JD426785,2020-11-09 20:00:00,031XX S LITUANICA AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,DRIVEWAY - RESIDENTIAL,False,False,913,9.0,11.0,60.0,14,1170821.0,1883935.0,2020,12/17/2020 03:40:05 PM,41.836995769,-87.648684347,"(41.836995769, -87.648684347)"
12851918,JF425770,2022-10-07 13:30:00,003XX W CHESTNUT ST,0560,ASSAULT,SIMPLE,HOTEL / MOTEL,False,False,1823,18.0,27.0,8.0,08A,1174021.0,1906256.0,2022,01/03/2023 03:40:27 PM,41.898175531,-87.636277251,"(41.898175531, -87.636277251)"
12571588,JE482217,2021-12-18 23:01:00,055XX S WESTERN AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,False,False,824,8.0,15.0,63.0,15,1161312.0,1867880.0,2021,12/25/2021 03:45:49 PM,41.793141605,-87.684021912,"(41.793141605, -87.684021912)"
13177012,JG383875,2021-11-22 00:00:00,061XX W WARWICK AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,1633,16.0,38.0,17.0,11,,,2021,08/16/2023 03:41:29 PM,,,
12947188,JG110190,2023-01-09 18:39:00,040XX W CULLOM AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,1722,17.0,39.0,16.0,14,1148801.0,1928273.0,2023,08/19/2023 03:40:26 PM,41.959117073,-87.728337966,"(41.959117073, -87.728337966)"
13134181,JG333506,2023-07-08 22:00:00,003XX W OHIO ST,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1831,18.0,42.0,8.0,06,1174066.0,1904137.0,2023,08/19/2023 03:40:26 PM,41.892359875,-87.636175212,"(41.892359875, -87.636175212)"
